name,chara,key,webp_file,url,exists,status_code,downloaded,download_status
Attack or Music,茅森 月歌 — Ruka Kayamori — ,image,RKayamoriDefault_R1_Thumbnail.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R1_Thumbnail.webp,True,200,True,200
Attack or Music,茅森 月歌 — Ruka Kayamori — ,strip,RKayamoriDefault_R1_Party.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R1_Party.webp,True,200,True,200
Attack or Music,茅森 月歌 — Ruka Kayamori — ,bg,RKayamoriDefault_R1.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R1.webp,True,200,True,200
Attack or Music,茅森 月歌 — Ruka Kayamori — ,chara_icon,RKayamoriSmallIcon.webp,https://assets.hbr.quest/v1/hbr/RKayamoriSmallIcon.webp,True,200,True,200
Attack or Music,茅森 月歌 — Ruka Kayamori — ,piece.image,RKayamoriDefault_R1_StylePiece.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R1_StylePiece.webp,True,200,True,200
戦場のフレット,茅森 月歌 — Ruka Kayamori — ,image,RKayamoriDefault_R2_Thumbnail.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R2_Thumbnail.webp,True,200,True,200
戦場のフレット,茅森 月歌 — Ruka Kayamori — ,strip,RKayamoriDefault_R2_Party.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R2_Party.webp,True,200,True,200
戦場のフレット,茅森 月歌 — Ruka Kayamori — ,bg,RKayamoriDefault_R2.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R2.webp,True,200,True,200
戦場のフレット,茅森 月歌 — Ruka Kayamori — ,chara_icon,RKayamoriSmallIcon.webp,https://assets.hbr.quest/v1/hbr/RKayamoriSmallIcon.webp,True,200,True,200
戦場のフレット,茅森 月歌 — Ruka Kayamori — ,piece.image,RKayamoriDefault_R2_StylePiece.webp,https://assets.hbr.quest/v1/hbr/RKayamoriDefault_R2_StylePiece.webp,True,200,True,200
